ref_start,ref_end,query_start,query_end,ref_length,query_length,ref_chrom,query_chrom
13160372,13219912,947,60443,249250621,79841,1,JSAF02011967.1
13326379,13432112,47752,153306,249250621,153904,1,JSAF02027180.1
13422788,13434104,5572,16773,249250621,16813,1,JSAF02018915.1
13424125,13449469,590,25930,249250621,27392,1,JSAF02021804.1
13435667,13477780,11231,53226,249250621,153904,1,JSAF02027180.1
13643585,13654898,5572,16773,249250621,16813,1,JSAF02018915.1
13644922,13670324,590,25930,249250621,27392,1,JSAF02021804.1
13656510,13698616,11231,53226,249250621,153904,1,JSAF02027180.1
13694959,13796816,20,101793,249250621,3152418,1,JSAF02036961.1
13796535,13915181,102169,220678,249250621,3152418,1,JSAF02036961.1
13915468,13984979,221111,290586,249250621,3152418,1,JSAF02036961.1
13984763,13999735,290548,305519,249250621,3152418,1,JSAF02036961.1
14000032,14307614,305505,613055,249250621,3152418,1,JSAF02036961.1
14307593,14436308,613072,741765,249250621,3152418,1,JSAF02036961.1
14438940,14819291,742544,1122887,249250621,3152418,1,JSAF02036961.1
14819216,14841131,1124233,1146098,249250621,3152418,1,JSAF02036961.1
14840828,14979264,1146049,1284457,249250621,3152418,1,JSAF02036961.1
14978935,15365550,1284414,1670916,249250621,3152418,1,JSAF02036961.1
15365003,15551722,1670259,1856944,249250621,3152418,1,JSAF02036961.1
15551722,15641143,1857222,1946638,249250621,3152418,1,JSAF02036961.1
15641099,15714832,1946891,2020607,249250621,3152418,1,JSAF02036961.1
15714832,16283960,2020713,2589653,249250621,3152418,1,JSAF02036961.1
16283844,16750713,2589576,3056390,249250621,3152418,1,JSAF02036961.1
16750682,16844549,3056494,3150371,249250621,3152418,1,JSAF02036961.1
16842224,16858985,4,16672,249250621,16724,1,JSAF02005105.1
16892487,16905882,5205,18518,249250621,18518,1,JSAF02034988.1
16899045,16988602,50,89521,249250621,96814,1,JSAF02005693.1
16972358,16997036,19,24567,249250621,24834,1,JSAF02028674.1
16973179,16987292,1708,15758,249250621,33053,1,JSAF02037887.1
16992635,17019838,678,27817,249250621,27819,1,JSAF02017374.1
17007337,17018224,22240,32967,249250621,32968,1,JSAF02000451.1
17008136,17057160,2524,51547,249250621,54968,1,JSAF02024667.1
17045545,17068802,732,23909,249250621,26489,1,JSAF02031172.1
17046428,17062576,0,16004,249250621,20771,1,JSAF02028216.1
17063418,17088114,24567,19,249250621,24834,1,JSAF02028674.1
17073163,17087281,15758,1708,249250621,33053,1,JSAF02037887.1
17175659,17228840,10429,63567,249250621,63625,1,JSAF02016211.1
17213245,17492714,1061,280527,249250621,805564,1,JSAF02025737.1
17215565,17227483,1,11826,249250621,11826,1,JSAF02008686.1
17492714,17535196,281361,323849,249250621,805564,1,JSAF02025737.1
17534874,17615830,323598,404608,249250621,805564,1,JSAF02025737.1
17619356,17676184,410905,467728,249250621,805564,1,JSAF02025737.1
17684482,18009757,474191,799396,249250621,805564,1,JSAF02025737.1
18015969,18094860,760,79620,249250621,2490189,1,JSAF02035425.1
18094811,18186199,79621,170967,249250621,2490189,1,JSAF02035425.1
18186004,18376484,170973,361527,249250621,2490189,1,JSAF02035425.1
18376031,18681400,365574,671000,249250621,2490189,1,JSAF02035425.1
18681386,18792608,670937,782096,249250621,2490189,1,JSAF02035425.1
18792540,19152111,782087,1141485,249250621,2490189,1,JSAF02035425.1
19151987,19252646,1141094,1241776,249250621,2490189,1,JSAF02035425.1
19252243,19387234,1242097,1377092,249250621,2490189,1,JSAF02035425.1
19387814,20259462,1379571,2251024,249250621,2490189,1,JSAF02035425.1
20259339,20497330,2251217,2489109,249250621,2490189,1,JSAF02035425.1
20486919,20709025,0,222011,249250621,2385996,1,JSAF02016292.1
20708962,20790265,222387,303685,249250621,2385996,1,JSAF02016292.1
20789925,20944751,304270,459074,249250621,2385996,1,JSAF02016292.1
20952666,21039482,468463,555255,249250621,2385996,1,JSAF02016292.1
21039020,21292181,555073,808157,249250621,2385996,1,JSAF02016292.1
21292128,21308014,808158,824041,249250621,2385996,1,JSAF02016292.1
21308111,21492600,824041,1008500,249250621,2385996,1,JSAF02016292.1
21492589,21506761,1008808,1023026,249250621,2385996,1,JSAF02016292.1
21506255,21713584,1022835,1230124,249250621,2385996,1,JSAF02016292.1
21715361,21902810,1231736,1419178,249250621,2385996,1,JSAF02016292.1
21902666,22144648,1419083,1660961,249250621,2385996,1,JSAF02016292.1
22144635,22870149,1660813,2385995,249250621,2385996,1,JSAF02016292.1
22871242,22897028,4,25749,249250621,2740765,1,JSAF02037214.1
22904270,23081458,34348,211432,249250621,2740765,1,JSAF02037214.1
23081289,23276947,211929,407487,249250621,2740765,1,JSAF02037214.1
23276941,23603822,407737,734524,249250621,2740765,1,JSAF02037214.1
23603557,23719259,741728,857450,249250621,2740765,1,JSAF02037214.1
23718801,23821744,858323,961245,249250621,2740765,1,JSAF02037214.1
23821715,24030415,961280,1169972,249250621,2740765,1,JSAF02037214.1
24037203,24210836,1176900,1350585,249250621,2740765,1,JSAF02037214.1
24210836,24226501,1352736,1368363,249250621,2740765,1,JSAF02037214.1
24226501,24320295,1368486,1462306,249250621,2740765,1,JSAF02037214.1
24342254,24403316,1484136,1545176,249250621,2740765,1,JSAF02037214.1
24403303,24671817,1544853,1813363,249250621,2740765,1,JSAF02037214.1
24671448,24961614,1813313,2103350,249250621,2740765,1,JSAF02037214.1
24960686,25056872,2102724,2198889,249250621,2740765,1,JSAF02037214.1
25056787,25126585,2199042,2268810,249250621,2740765,1,JSAF02037214.1
25126496,25158703,2268425,2300686,249250621,2740765,1,JSAF02037214.1
25161510,25328566,2300671,2467709,249250621,2740765,1,JSAF02037214.1
25328566,25371521,2467826,2510774,249250621,2740765,1,JSAF02037214.1
25380757,25411011,2520421,2550661,249250621,2740765,1,JSAF02037214.1
25390986,25600490,2530653,2740171,249250621,2740765,1,JSAF02037214.1
25639373,25695551,58,56237,249250621,110929,1,JSAF02027015.1
25735605,25856006,642,121031,249250621,361476,1,JSAF02032648.1
25855729,26077854,121732,343774,249250621,361476,1,JSAF02032648.1
26067796,26095375,333729,361411,249250621,361476,1,JSAF02032648.1
26094068,26622150,156,528187,249250621,528190,1,JSAF02019659.1
26623891,26726452,2,102499,249250621,1567252,1,JSAF02025946.1
26726169,26968123,102645,344530,249250621,1567252,1,JSAF02025946.1
26972913,27230540,349315,606919,249250621,1567252,1,JSAF02025946.1
27230208,27356978,606907,733697,249250621,1567252,1,JSAF02025946.1
27356978,27413537,734417,790960,249250621,1567252,1,JSAF02025946.1
27412987,27433762,791583,812338,249250621,1567252,1,JSAF02025946.1
27433597,27935394,813364,1315052,249250621,1567252,1,JSAF02025946.1
27935498,28180501,1315019,1559972,249250621,1567252,1,JSAF02025946.1
28180471,28204983,720,25158,249250621,3600691,1,JSAF02026649.1
28204917,28247807,26470,69361,249250621,3600691,1,JSAF02026649.1
28248109,28680036,69354,501293,249250621,3600691,1,JSAF02026649.1
28680035,28717885,507022,544862,249250621,3600691,1,JSAF02026649.1
28722330,28745559,550406,573621,249250621,3600691,1,JSAF02026649.1
28745541,28838743,573922,667155,249250621,3600691,1,JSAF02026649.1
28838730,28898311,667187,726735,249250621,3600691,1,JSAF02026649.1
28898295,29426841,727056,1255565,249250621,3600691,1,JSAF02026649.1
29426819,29878082,1255871,1707098,249250621,3600691,1,JSAF02026649.1
30028083,30196852,1710144,1878928,249250621,3600691,1,JSAF02026649.1
30200190,30244649,1882506,1926947,249250621,3600691,1,JSAF02026649.1
30243580,30346050,1926539,2029045,249250621,3600691,1,JSAF02026649.1
30346048,30569458,2029433,2252754,249250621,3600691,1,JSAF02026649.1
30569449,30774279,2252908,2457611,249250621,3600691,1,JSAF02026649.1
30774226,30878516,2457631,2561894,249250621,3600691,1,JSAF02026649.1
30878819,30961751,2567389,2650296,249250621,3600691,1,JSAF02026649.1
30961686,31128620,2650440,2817379,249250621,3600691,1,JSAF02026649.1
31128042,31205220,2818681,2895838,249250621,3600691,1,JSAF02026649.1
31205193,31367517,2898341,3060704,249250621,3600691,1,JSAF02026649.1
31367387,31649878,3060514,3342810,249250621,3600691,1,JSAF02026649.1
31649845,31818428,3342652,3511223,249250621,3600691,1,JSAF02026649.1
31818395,31905079,3511246,3597942,249250621,3600691,1,JSAF02026649.1
31904599,31967950,787,64148,249250621,2250340,1,JSAF02031613.1
31971542,32273046,75224,376681,249250621,2250340,1,JSAF02031613.1
32272994,33005346,376917,1109155,249250621,2250340,1,JSAF02031613.1
33005342,33046958,1109374,1150989,249250621,2250340,1,JSAF02031613.1
33046681,33108674,1151302,1213296,249250621,2250340,1,JSAF02031613.1
33108379,33440048,1214001,1545481,249250621,2250340,1,JSAF02031613.1
33440178,33452436,1545484,1557733,249250621,2250340,1,JSAF02031613.1
33452144,33518136,1559027,1624991,249250621,2250340,1,JSAF02031613.1
33518136,33652426,1625093,1759307,249250621,2250340,1,JSAF02031613.1
33652419,34139888,1760956,2248357,249250621,2250340,1,JSAF02031613.1
34128431,34330604,8,202104,249250621,801125,1,JSAF02020097.1
34330531,34929618,202236,801125,249250621,801125,1,JSAF02020097.1
34929686,35243331,0,313560,249250621,2640167,1,JSAF02021490.1
35243331,35622734,313684,693126,249250621,2640167,1,JSAF02021490.1
35627294,35726191,698500,797338,249250621,2640167,1,JSAF02021490.1
35725789,36042602,797144,1113893,249250621,2640167,1,JSAF02021490.1
36042581,36342571,1113821,1413655,249250621,2640167,1,JSAF02021490.1
36322544,36676346,1393640,1747350,249250621,2640167,1,JSAF02021490.1
36676306,36733250,1747398,1804324,249250621,2640167,1,JSAF02021490.1
36733499,36749269,1804344,1820094,249250621,2640167,1,JSAF02021490.1
36749270,37010603,1820043,2081426,249250621,2640167,1,JSAF02021490.1
37010714,37154673,2081426,2225318,249250621,2640167,1,JSAF02021490.1
37154080,37206296,2225059,2277251,249250621,2640167,1,JSAF02021490.1
37215796,37259508,2287009,2330695,249250621,2640167,1,JSAF02021490.1
37259207,37424664,2331173,2496629,249250621,2640167,1,JSAF02021490.1
37423718,37568577,2495411,2640166,249250621,2640167,1,JSAF02021490.1
37568639,37911852,23,343251,249250621,674951,1,JSAF02002892.1
37911660,38208248,343731,640343,249250621,674951,1,JSAF02002892.1
38208409,38241396,640341,673282,249250621,674951,1,JSAF02002892.1
38241383,38432811,3158,194505,249250621,886075,1,JSAF02018584.1
38432811,39084338,194823,846340,249250621,886075,1,JSAF02018584.1
39085648,39124622,846046,885032,249250621,886075,1,JSAF02018584.1
39112912,39411647,4,298650,249250621,1120519,1,JSAF02005444.1
39411361,39510253,300329,399192,249250621,1120519,1,JSAF02005444.1
39510230,39700359,399385,589474,249250621,1120519,1,JSAF02005444.1
39700180,39747209,589807,636841,249250621,1120519,1,JSAF02005444.1
39747158,39991544,637101,881407,249250621,1120519,1,JSAF02005444.1
39984257,39998480,1120518,1106320,249250621,1120519,1,JSAF02005444.1
40001239,40130186,1106603,977665,249250621,1120519,1,JSAF02005444.1
40130160,40242358,977313,865061,249250621,1120519,1,JSAF02005444.1
40233266,40354445,274,121409,249250621,1779648,1,JSAF02035915.1
40354430,40516087,121716,283349,249250621,1779648,1,JSAF02035915.1
40516078,41847881,283453,1615184,249250621,1779648,1,JSAF02035915.1
41847875,41890923,1615377,1658397,249250621,1779648,1,JSAF02035915.1
41890922,41993023,1658878,1761074,249250621,1779648,1,JSAF02035915.1
41992941,42011181,1761445,1779645,249250621,1779648,1,JSAF02035915.1
42010465,42141522,8,131046,249250621,131046,1,JSAF02026786.1
42142053,42743202,18,601160,249250621,2153535,1,JSAF02037228.1
42743485,42832813,601129,690551,249250621,2153535,1,JSAF02037228.1
42832812,43001390,690586,859073,249250621,2153535,1,JSAF02037228.1
43001371,43857470,859179,1714955,249250621,2153535,1,JSAF02037228.1
43857792,44059296,1714941,1916389,249250621,2153535,1,JSAF02037228.1
44059934,44296307,1917311,2153535,249250621,2153535,1,JSAF02037228.1
44284017,44371458,604,88033,249250621,88673,1,JSAF02023186.1
44377162,45203745,8957,835257,249250621,2354769,1,JSAF02001782.1
45203727,45342292,835285,973800,249250621,2354769,1,JSAF02001782.1
45342141,45795708,974049,1427629,249250621,2354769,1,JSAF02001782.1
45795695,45963358,1427942,1595615,249250621,2354769,1,JSAF02001782.1
45963346,45983488,1596254,1616390,249250621,2354769,1,JSAF02001782.1
45983584,46169054,1616390,1801842,249250621,2354769,1,JSAF02001782.1
46176504,46366125,1813724,2003387,249250621,2354769,1,JSAF02001782.1
46366437,46679047,2003370,2315961,249250621,2354769,1,JSAF02001782.1
46679031,46715842,2316288,2353035,249250621,2354769,1,JSAF02001782.1
46707891,47242388,1075,535448,249250621,640959,1,JSAF02001544.1
47241792,47347299,535141,640673,249250621,640959,1,JSAF02001544.1
47354765,47542235,370,187764,249250621,196275,1,JSAF02010868.1
47548671,47609322,0,60597,249250621,61109,1,JSAF02030230.1
47611710,47644801,1,33064,249250621,670293,1,JSAF02025553.1
47649949,48209303,39218,598469,249250621,670293,1,JSAF02025553.1
48208859,48280786,598355,670282,249250621,670293,1,JSAF02025553.1
48281662,48710519,1,428747,249250621,1199466,1,JSAF02036335.1
48710551,48848146,428905,566492,249250621,1199466,1,JSAF02036335.1
48848316,49481612,566492,1199464,249250621,1199466,1,JSAF02036335.1
49471537,49549831,67,78316,249250621,2902781,1,JSAF02017929.1
49549831,50835193,78262,1363573,249250621,2902781,1,JSAF02017929.1
50834764,50847892,1363687,1376799,249250621,2902781,1,JSAF02017929.1
50847900,52177226,1376913,2706250,249250621,2902781,1,JSAF02017929.1
52176898,52270310,2706319,2799699,249250621,2902781,1,JSAF02017929.1
52270084,52318275,2799563,2847721,249250621,2902781,1,JSAF02017929.1
52318205,52372571,2848203,2902536,249250621,2902781,1,JSAF02017929.1
52372515,53749995,1406,1378922,249250621,2663433,1,JSAF02027457.1
53749083,53968622,1378681,1598230,249250621,2663433,1,JSAF02027457.1
53968030,53991170,1597480,1620596,249250621,2663433,1,JSAF02027457.1
53991127,54179261,1620977,1809006,249250621,2663433,1,JSAF02027457.1
54178792,54924882,1808850,2554744,249250621,2663433,1,JSAF02027457.1
54924175,54976383,2554234,2606405,249250621,2663433,1,JSAF02027457.1
54976290,55027457,2606752,2657853,249250621,2663433,1,JSAF02027457.1
55027357,55092274,6,64925,249250621,105183,1,JSAF02027859.1
55095967,55136248,64925,105183,249250621,105183,1,JSAF02027859.1
55138946,55274657,3,135669,249250621,10801753,1,JSAF02028636.1
55274664,55468765,135787,329678,249250621,10801753,1,JSAF02028636.1
55468435,55705907,330007,567423,249250621,10801753,1,JSAF02028636.1
55705907,55851401,569029,714587,249250621,10801753,1,JSAF02028636.1
55851287,55886422,715012,750140,249250621,10801753,1,JSAF02028636.1
55886419,55974841,750097,838516,249250621,10801753,1,JSAF02028636.1
55974777,56128522,838398,992119,249250621,10801753,1,JSAF02028636.1
56132324,56401293,996720,1265639,249250621,10801753,1,JSAF02028636.1
56401604,56831124,1265629,1695107,249250621,10801753,1,JSAF02028636.1
56834962,57242625,1695090,2102835,249250621,10801753,1,JSAF02028636.1
57242947,57861455,2102818,2721101,249250621,10801753,1,JSAF02028636.1
57861455,58071869,2721045,2931482,249250621,10801753,1,JSAF02028636.1
58071858,58743913,2931682,3603662,249250621,10801753,1,JSAF02028636.1
58744823,59116995,3603659,3975730,249250621,10801753,1,JSAF02028636.1
59117032,59195265,3975729,4053994,249250621,10801753,1,JSAF02028636.1
59195262,59446894,4054505,4306119,249250621,10801753,1,JSAF02028636.1
59446876,60551613,4306000,5410783,249250621,10801753,1,JSAF02028636.1
60551337,61198380,5410630,6057572,249250621,10801753,1,JSAF02028636.1
61198379,61288338,6057529,6147438,249250621,10801753,1,JSAF02028636.1
61288096,62186151,6147436,7045396,249250621,10801753,1,JSAF02028636.1
62169833,62230107,7045395,7105666,249250621,10801753,1,JSAF02028636.1
62230095,62390602,7108417,7269015,249250621,10801753,1,JSAF02028636.1
62390936,62603353,7269000,7481368,249250621,10801753,1,JSAF02028636.1
62603055,62616134,7481448,7494538,249250621,10801753,1,JSAF02028636.1
62624045,63151835,7501132,8028762,249250621,10801753,1,JSAF02028636.1
63152159,63705366,8028747,8581850,249250621,10801753,1,JSAF02028636.1
63708147,63939688,8581841,8813276,249250621,10801753,1,JSAF02028636.1
63939688,64122966,8813393,8996611,249250621,10801753,1,JSAF02028636.1
64102944,64667202,8976577,9540632,249250621,10801753,1,JSAF02028636.1
64667064,64850190,9540777,9723816,249250621,10801753,1,JSAF02028636.1
64850180,64881328,9725951,9757037,249250621,10801753,1,JSAF02028636.1
64881506,64958078,9757039,9833580,249250621,10801753,1,JSAF02028636.1
64958062,65200434,9833920,10076236,249250621,10801753,1,JSAF02028636.1
65200425,65346963,10076130,10222671,249250621,10801753,1,JSAF02028636.1
65346946,65925764,10223010,10801749,249250621,10801753,1,JSAF02028636.1
65915421,66055941,0,140456,249250621,18696872,1,JSAF02018171.1
66055927,66079154,140761,163992,249250621,18696872,1,JSAF02018171.1
66079447,66263923,164007,348282,249250621,18696872,1,JSAF02018171.1
66264243,66866216,348269,950191,249250621,18696872,1,JSAF02018171.1
66866190,67201222,950225,1285172,249250621,18696872,1,JSAF02018171.1
67201554,67624959,1285172,1708449,249250621,18696872,1,JSAF02018171.1
67624980,68008246,1708631,2091871,249250621,18696872,1,JSAF02018171.1
68008807,68175757,2091576,2258505,249250621,18696872,1,JSAF02018171.1
68175672,69055457,2258242,3137970,249250621,18696872,1,JSAF02018171.1
69055311,69082536,3137971,3165194,249250621,18696872,1,JSAF02018171.1
69082568,69230627,3165190,3313259,249250621,18696872,1,JSAF02018171.1
69230761,69807004,3313259,3889418,249250621,18696872,1,JSAF02018171.1
69807312,69943725,3889407,4025888,249250621,18696872,1,JSAF02018171.1
69944022,70027330,4025879,4109119,249250621,18696872,1,JSAF02018171.1
70027683,70091072,4109116,4172481,249250621,18696872,1,JSAF02018171.1
70091057,70381793,4172795,4463555,249250621,18696872,1,JSAF02018171.1
70381703,70685453,4464678,4768389,249250621,18696872,1,JSAF02018171.1
